embedding,encoder,tagset,link,metric,set,precision,recall,f1
learned,lstm,biomje,td,epm,training,0.7907869481765835,0.8535911602209945,0.8209897044171371
learned,lstm,biomje,td,epm,validation,0.068,0.08173076923076923,0.07423580786026202
learned,lstm,biomje,td,epm,optimization,0.09268292682926829,0.09947643979057591,0.09595959595959597
learned,lstm,biomje,td,epm,test,0.04954954954954955,0.05116279069767442,0.05034324942791762
learned,lstm,biomje,td,mpbm,training,0.8613948059527283,0.9044117647058824,0.8823793154984307
learned,lstm,biomje,td,mpbm,validation,0.14586994727592267,0.17364016736401675,0.1585482330468004
learned,lstm,biomje,td,mpbm,optimization,0.16593886462882096,0.1792452830188679,0.17233560090702946
learned,lstm,biomje,td,mpbm,test,0.13131313131313133,0.13402061855670103,0.1326530612244898
learned,lstm,biomje,td,mbawo,training,0.8880181480717674,0.9338538278030796,0.9103594080338266
learned,lstm,biomje,td,mbawo,validation,0.21329365079365079,0.2222222222222222,0.21766641356618577
learned,lstm,biomje,td,mbawo,optimization,0.24052004333694474,0.23832528180354268,0.2394176327851173
learned,lstm,biomje,td,mbawo,test,0.24551873981531777,0.21835748792270532,0.23114293019688062
learned,lstm,biomje,td,mwo,training,0.9101532962122775,0.9571314971445095,0.9330514446793515
learned,lstm,biomje,td,mwo,validation,0.2728174603174603,0.2842377260981912,0.27841052898000507
learned,lstm,biomje,td,mwo,optimization,0.31690140845070425,0.3140096618357488,0.3154489080614721
learned,lstm,biomje,td,mwo,test,0.32590983161325365,0.2898550724637681,0.3068268984914344
learned,lstm,bio,bd,epm,training,0.9827348066298343,0.9827348066298343,0.9827348066298343
learned,lstm,bio,bd,epm,validation,0.09395973154362416,0.0673076923076923,0.07843137254901959
learned,lstm,bio,bd,epm,optimization,0.14492753623188406,0.10471204188481675,0.12158054711246201
learned,lstm,bio,bd,epm,test,0.11176470588235295,0.08837209302325581,0.0987012987012987
learned,lstm,bio,bd,mpbm,training,0.9856004901960784,0.9856004901960784,0.9856004901960784
learned,lstm,bio,bd,mpbm,validation,0.23872679045092837,0.18828451882845187,0.21052631578947367
learned,lstm,bio,bd,mpbm,optimization,0.2028985507246377,0.1650943396226415,0.18205461638491546
learned,lstm,bio,bd,mpbm,test,0.1807511737089202,0.15876288659793814,0.1690450054884742
learned,lstm,bio,bd,mbawo,training,0.9916696848967765,0.9896624015036507,0.9906650264129097
learned,lstm,bio,bd,mbawo,validation,0.31388660640920296,0.1974160206718346,0.24238578680203043
learned,lstm,bio,bd,mbawo,optimization,0.29559204840103714,0.18357487922705315,0.22649006622516554
learned,lstm,bio,bd,mbawo,test,0.26860382707299785,0.18309178743961352,0.21775351910370583
learned,lstm,bio,bd,mwo,training,0.9950742484607027,0.9930600737367166,0.9940661408206093
learned,lstm,bio,bd,mwo,validation,0.3705834018077239,0.2330749354005168,0.28616751269035534
learned,lstm,bio,bd,mwo,optimization,0.37510803802938636,0.23295759527643586,0.2874172185430464
learned,lstm,bio,bd,mwo,test,0.35223245924875973,0.2400966183574879,0.28555012927319734
learned,lstm,bio,td,epm,training,0.9937629937629938,0.9903314917127072,0.9920442753372536
learned,lstm,bio,td,epm,validation,0.16149068322981366,0.125,0.14092140921409216
learned,lstm,bio,td,epm,optimization,0.1069182389937107,0.08900523560209424,0.09714285714285714
learned,lstm,bio,td,epm,test,0.1588235294117647,0.12558139534883722,0.14025974025974028
learned,lstm,bio,td,mpbm,training,0.9959950708564387,0.9905024509803921,0.9932411674347158
learned,lstm,bio,td,mpbm,validation,0.26453488372093026,0.1903765690376569,0.22141119221411196
learned,lstm,bio,td,mpbm,optimization,0.2028985507246377,0.1650943396226415,0.18205461638491546
learned,lstm,bio,td,mpbm,test,0.2680965147453083,0.20618556701030927,0.23310023310023312
learned,lstm,bio,td,mbawo,training,0.9976759387028833,0.9930600737367166,0.9953626548800811
learned,lstm,bio,td,mbawo,validation,0.32882502113271345,0.20103359173126614,0.24951892238614495
learned,lstm,bio,td,mbawo,optimization,0.2606707317073171,0.18357487922705315,0.21543307086614177
learned,lstm,bio,td,mbawo,test,0.29802775748721694,0.19710144927536233,0.23727827856935155
learned,lstm,bio,td,mwo,training,0.9982569540271624,0.9936384009253235,0.9959423230200709
learned,lstm,bio,td,mwo,validation,0.38546069315300086,0.23565891472868217,0.2924951892238615
learned,lstm,bio,td,mwo,optimization,0.375,0.2640901771336554,0.3099212598425196
learned,lstm,bio,td,mwo,test,0.3922571219868517,0.2594202898550725,0.31230008723466124
learned,lstm,bioe,bd,epm,training,0.9026548672566371,0.9157458563535912,0.9091532396297566
learned,lstm,bioe,bd,epm,validation,0.05434782608695652,0.04807692307692308,0.05102040816326531
learned,lstm,bioe,bd,epm,optimization,0.06417112299465241,0.06282722513089005,0.0634920634920635
learned,lstm,bioe,bd,epm,test,0.06770833333333333,0.06046511627906977,0.06388206388206387
learned,lstm,bioe,bd,mpbm,training,0.9414796846573681,0.9512867647058824,0.9463578177384944
learned,lstm,bioe,bd,mpbm,validation,0.17985611510791366,0.15690376569037656,0.16759776536312848
learned,lstm,bioe,bd,mpbm,optimization,0.12106537530266344,0.1179245283018868,0.1194743130227001
learned,lstm,bioe,bd,mpbm,test,0.18362282878411912,0.15257731958762888,0.16666666666666669
learned,lstm,bioe,bd,mbawo,training,0.9455951198751597,0.9637099689149136,0.9545666105760624
learned,lstm,bioe,bd,mbawo,validation,0.25518925518925517,0.2160206718346253,0.23397705009795686
learned,lstm,bioe,bd,mbawo,optimization,0.19524617996604415,0.18518518518518517,0.19008264462809918
learned,lstm,bioe,bd,mbawo,test,0.23035066505441354,0.18405797101449275,0.20461868958109558
learned,lstm,bioe,bd,mwo,training,0.9577954319761668,0.9761440034699631,0.9668826751637964
learned,lstm,bioe,bd,mwo,validation,0.322954822954823,0.27338501291989664,0.2961097117268402
learned,lstm,bioe,bd,mwo,optimization,0.3073005093378608,0.2914653784219002,0.2991735537190083
learned,lstm,bioe,bd,mwo,test,0.31499395405078595,0.25169082125603864,0.2798066595059076
learned,lstm,bioe,td,epm,training,0.6156439649359406,0.630524861878453,0.6229955646537018
learned,lstm,bioe,td,epm,validation,0.04048582995951417,0.04807692307692308,0.04395604395604396
learned,lstm,bioe,td,epm,optimization,0.03398058252427184,0.03664921465968586,0.03526448362720403
learned,lstm,bioe,td,epm,test,0.04741379310344827,0.05116279069767442,0.049217002237136466
learned,lstm,bioe,td,mpbm,training,0.7188328912466844,0.7472426470588235,0.7327625056331681
learned,lstm,bioe,td,mpbm,validation,0.1673728813559322,0.16527196652719664,0.1663157894736842
learned,lstm,bioe,td,mpbm,optimization,0.16666666666666666,0.15330188679245282,0.15970515970515972
learned,lstm,bioe,td,mpbm,test,0.13990825688073394,0.12577319587628866,0.1324647122692725
learned,lstm,bioe,td,mbawo,training,0.7724957555178268,0.8223089713005133,0.7966244134743329
learned,lstm,bioe,td,mbawo,validation,0.2113453815261044,0.21757105943152455,0.21441303794244973
learned,lstm,bioe,td,mbawo,optimization,0.22777777777777777,0.2200751476113795,0.22386022386022386
learned,lstm,bioe,td,mbawo,test,0.18036175710594315,0.16859903381642513,0.17428214731585517
learned,lstm,bioe,td,mwo,training,0.8328013582342955,0.8865032892358852,0.8588136424119336
learned,lstm,bioe,td,mwo,validation,0.2936746987951807,0.3023255813953488,0.2979373567608861
learned,lstm,bioe,td,mwo,optimization,0.3411111111111111,0.3295759527643586,0.3352443352443353
learned,lstm,bioe,td,mwo,test,0.30025839793281656,0.2806763285024155,0.2901373283395755
learned,lstm,bioj,bd,epm,training,0.9637883008356546,0.9558011049723757,0.9597780859916782
