embedding,encoder,tagset,link,metric,set,precision,recall,f1
chinese-bert,identity,bio,bd,epm,training,0.2191780821917808,0.266173752310536,0.2404006677796327
chinese-bert,identity,bio,bd,epm,validation,0.125,0.12643678160919541,0.12571428571428572
chinese-bert,identity,bio,bd,epm,optimization,0.16304347826086957,0.19480519480519481,0.17751479289940827
chinese-bert,identity,bio,bd,epm,test,0.1262135922330097,0.16049382716049382,0.14130434782608697
chinese-bert,identity,bio,bd,mpbm,training,0.4412442396313364,0.5182679296346414,0.47666459240821407
chinese-bert,identity,bio,bd,mpbm,validation,0.3175182481751825,0.3686440677966102,0.3411764705882353
chinese-bert,identity,bio,bd,mpbm,optimization,0.38372093023255816,0.4520547945205479,0.41509433962264153
chinese-bert,identity,bio,bd,mpbm,test,0.30141843971631205,0.38636363636363635,0.3386454183266932
chinese-bert,identity,bio,bd,mbawo,training,0.6069047748089534,0.6313712223725756,0.6188962887224693
chinese-bert,identity,bio,bd,mbawo,validation,0.508138711960368,0.5485103132161956,0.5275532696546655
chinese-bert,identity,bio,bd,mbawo,optimization,0.565597667638484,0.6050682261208578,0.5846675456771521
chinese-bert,identity,bio,bd,mbawo,test,0.47244094488188976,0.5517241379310345,0.5090137857900318
chinese-bert,identity,bio,bd,mwo,training,0.6461980380467184,0.6722485340550293,0.6589659269903557
chinese-bert,identity,bio,bd,mwo,validation,0.5410474168435951,0.5840336134453782,0.5617193240264512
chinese-bert,identity,bio,bd,mwo,optimization,0.6191690962099126,0.6623781676413255,0.6400452062535318
chinese-bert,identity,bio,bd,mwo,test,0.5045931758530183,0.589272030651341,0.5436550017674089
chinese-bert,identity,bio,td,epm,training,0.376865671641791,0.3733826247689464,0.3751160631383472
chinese-bert,identity,bio,td,epm,validation,0.2808988764044944,0.28735632183908044,0.28409090909090906
chinese-bert,identity,bio,td,epm,optimization,0.23076923076923078,0.2727272727272727,0.24999999999999994
chinese-bert,identity,bio,td,epm,test,0.2403846153846154,0.30864197530864196,0.2702702702702703
chinese-bert,identity,bio,td,mpbm,training,0.6465753424657534,0.4790257104194858,0.5503303536727555
chinese-bert,identity,bio,td,mpbm,validation,0.5272727272727272,0.3686440677966102,0.43391521197007477
chinese-bert,identity,bio,td,mpbm,optimization,0.5146198830409356,0.4018264840182648,0.4512820512820513
chinese-bert,identity,bio,td,mpbm,test,0.4494949494949495,0.40454545454545454,0.4258373205741627
chinese-bert,identity,bio,td,mbawo,training,0.7215933514830205,0.5678845286423094,0.6355777118697545
chinese-bert,identity,bio,td,mbawo,validation,0.6553374820488271,0.5229182582123758,0.5816868493732738
chinese-bert,identity,bio,td,mbawo,optimization,0.5765765765765766,0.4740740740740741,0.5203252032520325
chinese-bert,identity,bio,td,mbawo,test,0.5273149941882991,0.521455938697318,0.5243691003660181
chinese-bert,identity,bio,td,mwo,training,0.810073076371973,0.6375169147496617,0.7135104436170884
chinese-bert,identity,bio,td,mwo,validation,0.7549066539013882,0.6023682200152788,0.6700658593584025
chinese-bert,identity,bio,td,mwo,optimization,0.6813655761024182,0.560233918128655,0.6148908857509627
chinese-bert,identity,bio,td,mwo,test,0.6237892289810151,0.6168582375478927,0.6203043729531882
chinese-bert,identity,bioe,bd,epm,training,0.26629680998613037,0.35489833641404805,0.30427892234548337
chinese-bert,identity,bioe,bd,epm,validation,0.1553398058252427,0.1839080459770115,0.16842105263157894
chinese-bert,identity,bioe,bd,epm,optimization,0.15126050420168066,0.23376623376623376,0.1836734693877551
chinese-bert,identity,bioe,bd,epm,test,0.1826086956521739,0.25925925925925924,0.21428571428571427
chinese-bert,identity,bioe,bd,mpbm,training,0.505908835115363,0.6082543978349121,0.5523809523809524
chinese-bert,identity,bioe,bd,mpbm,validation,0.3903345724907063,0.4449152542372881,0.4158415841584158
chinese-bert,identity,bioe,bd,mpbm,optimization,0.3665480427046263,0.4703196347031963,0.412
chinese-bert,identity,bioe,bd,mpbm,test,0.3435374149659864,0.4590909090909091,0.3929961089494164
chinese-bert,identity,bioe,bd,mbawo,training,0.6018308841243074,0.7042737934145241,0.6490348393130861
chinese-bert,identity,bioe,bd,mbawo,validation,0.5166182639561149,0.6115355233002292,0.5600839601189435
chinese-bert,identity,bioe,bd,mbawo,optimization,0.5341838403663722,0.6366471734892788,0.5809320526503023
chinese-bert,identity,bioe,bd,mbawo,test,0.4794238683127572,0.6249042145593869,0.542581503659348
chinese-bert,identity,bioe,bd,mwo,training,0.6490002409058059,0.7594722598105548,0.6999038736327974
chinese-bert,identity,bioe,bd,mwo,validation,0.5524362697644402,0.6539343009931246,0.5989155151303132
chinese-bert,identity,bioe,bd,mwo,optimization,0.5711481844946026,0.6807017543859649,0.6211312700106724
chinese-bert,identity,bioe,bd,mwo,test,0.5070546737213404,0.6609195402298851,0.5738522954091817
chinese-bert,identity,bioe,td,epm,training,0.24091381100726894,0.4288354898336414,0.30851063829787234
chinese-bert,identity,bioe,td,epm,validation,0.1393939393939394,0.26436781609195403,0.18253968253968256
chinese-bert,identity,bioe,td,epm,optimization,0.11695906432748537,0.2597402597402597,0.16129032258064516
chinese-bert,identity,bioe,td,epm,test,0.1590909090909091,0.345679012345679,0.21789883268482493
chinese-bert,identity,bioe,td,mpbm,training,0.4988738738738739,0.5994587280108254,0.544560540872772
chinese-bert,identity,bioe,td,mpbm,validation,0.34408602150537637,0.4067796610169492,0.37281553398058254
chinese-bert,identity,bioe,td,mpbm,optimization,0.3543859649122807,0.4611872146118721,0.4007936507936508
chinese-bert,identity,bioe,td,mpbm,test,0.3248407643312102,0.4636363636363636,0.38202247191011235
chinese-bert,identity,bioe,td,mbawo,training,0.604266255461321,0.6628326567433469,0.632195961388508
chinese-bert,identity,bioe,td,mbawo,validation,0.48821318756405874,0.5458365164247517,0.515419296663661
chinese-bert,identity,bioe,td,mbawo,optimization,0.5030655050016134,0.6077972709551657,0.5504943502824858
chinese-bert,identity,bioe,td,mbawo,test,0.43695834498182834,0.5988505747126437,0.5052529497333118
chinese-bert,identity,bioe,td,mwo,training,0.6684656900539707,0.7332543978349121,0.69936274905219
chinese-bert,identity,bioe,td,mwo,validation,0.5456098394260335,0.6100076394194042,0.576014427412083
chinese-bert,identity,bioe,td,mwo,optimization,0.5756695708292998,0.6955165692007798,0.6299435028248588
chinese-bert,identity,bioe,td,mwo,test,0.49566675985462677,0.6793103448275862,0.5731372232099564
chinese-bert,identity,bioj,bd,epm,training,0.29435483870967744,0.2698706099815157,0.28158148505303765
chinese-bert,identity,bioj,bd,epm,validation,0.19117647058823528,0.14942528735632185,0.16774193548387095
chinese-bert,identity,bioj,bd,epm,optimization,0.13333333333333333,0.12987012987012986,0.13157894736842102
chinese-bert,identity,bioj,bd,epm,test,0.10112359550561797,0.1111111111111111,0.10588235294117647
chinese-bert,identity,bioj,bd,mpbm,training,0.5522260273972602,0.4364005412719892,0.48752834467120176
chinese-bert,identity,bioj,bd,mpbm,validation,0.44047619047619047,0.3135593220338983,0.36633663366336633
chinese-bert,identity,bioj,bd,mpbm,optimization,0.4093567251461988,0.319634703196347,0.358974358974359
chinese-bert,identity,bioj,bd,mpbm,test,0.29411764705882354,0.29545454545454547,0.29478458049886624
chinese-bert,identity,bioj,bd,mbawo,training,0.7392696500724251,0.5467410915651781,0.6285936537775905
